timestep,reward
169,-0.003
97633,-0.007
193817,-0.007
293134,0.028
391597,0.018
487200,0.036
585710,-0.013
682158,0.041
779335,0.003
878910,0.006
975686,0.044
1072596,0.023
1168100,0.04
1265321,0.032
1364043,-0.024
1460279,-0.008
1559068,0.036
1655501,-0.002
1752752,0.037
1849644,0.004
1943297,0.056
2041827,0.052
2139842,0.023
2237594,-0.023
2332055,-0.004
2428934,0.042
2528070,-0.015
2624810,-0.029
2722656,0.035
2820484,0.038
2918999,-0.009
3015601,-0.017
3112082,0.035
3207774,0.037
3305586,0.056
3402829,0.033
3497633,-0.013
3595271,0.045
3692765,0.071
3788354,0.046
3886505,0.049
3981583,0.029
4079969,0.027
4178441,0.021
4276715,0.016
4374332,0.008
4474415,0.048
4571925,0.047
4668160,0.026
4766340,0.03
